,Model_Equation,IDdupCorr,T1_DEGcount,T2_DEGcount,T3_DEGcount,T4_DEGcount,T5_DEGcount,Count_DEGT1orig_DEGT1cell,Count_DEGT2orig_DEGT2cell,Count_DEGT4orig_DEGT4cell,Count_DEGT5orig_DEGT5cell,pct_DEGT1orig_DEGT1cell,pct_DEGT2orig_DEGT2cell,pct_DEGT4orig_DEGT4cell,pct_DEGT5orig_DEGT5cell
ORIGINAL,model.matrix(~ 0 + Time + Sex),0.3843199,1325,776,0,122,80,,,,,100.00,100.00,100.00,100.00
BCells_naive,model.matrix(~ 0 + time + sex + Bnaive),0.3613501,953,635,,78,57,922,608,67,49,69.58,78.35,54.92,61.25
BCells_memory,model.matrix(~ 0 + time + sex + BMem),0.3853277,1236,893,,165,96,1233,752,119,77,93.06,96.91,97.54,96.25
BCells_all,model.matrix(~ 0 + time + sex + BCELLS),0.3618565,954,643,,79,59,923,616,68,51,69.66,79.38,55.74,63.75
CD8TCells,model.matrix(~ 0 + time + sex + CD8T),0.3442146,128,1339,,182,118,122,763,111,77,9.21,98.32,90.98,96.25
CD4TCells_naive,model.matrix(~ 0 + time + sex + CD4naive),0.3194078,2538,68,,30,25,1317,68,27,22,99.40,8.76,22.13,27.50
CD4TCells_memory,model.matrix(~ 0 + time + sex + CD4MEM),0.3970536,1053,608,,122,78,1039,589,118,74,78.42,75.90,96.72,92.50
CD4TCells_all,model.matrix(~ 0 + time + sex + CD4),0.3473281,2460,54,,89,53,1325,49,67,48,100.00,6.31,54.92,60.00
TRegCells,model.matrix(~ 0 + time + sex + Treg),0.4089605,1102,918,,159,70,1059,776,122,60,79.92,100.00,100.00,75.00
TCells_all,model.matrix(~ 0 + time + sex + TCELLS),0.3069085,1696,172,,112,94,1320,155,90,76,99.62,19.97,73.77,95.00
NKCells,model.matrix(~ 0 + time + sex + NKCELLS),0.3804711,974,719,,123,92,939,655,100,78,70.87,84.41,81.97,97.50
Monocytes,model.matrix(~ 0 + time + sex + Mono),0.3719906,6,1610,,139,196,6,714,82,61,0.45,92.01,67.21,76.25
Macrophages,model.matrix(~ 0 + time + sex + Macro),0.4004191,24,962,,129,87,24,766,122,80,1.81,98.71,100.00,100.00
DendriticCells,model.matrix(~ 0 + time + sex + DCS),0.3910928,1428,908,,299,129,1322,771,122,77,99.77,99.36,100.00,96.25
MastCells,model.matrix(~ 0 + time + sex + MASTS),0.3756806,1058,633,,62,74,1018,579,61,70,76.83,74.61,50.00,87.50
Neutrophils,model.matrix(~ 0 + time + sex + Neut),0.2813099,439,611,,221,285,339,535,122,80,25.58,68.94,100.00,100.00
