"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000167261.14"	0.787392841329991	7.57766787414106	6.44012520503735	5.89556688724213e-08	0.00101509870664535	8.0208254553363
"ENSG00000146842.17"	-0.478084524050138	4.69452344234248	-6.1549671096696	1.59364472342564e-07	0.00137196874239713	7.11867147391473
"ENSG00000119711.12"	-0.530328122414276	4.0139880741432	-5.67273574277377	8.50144226088221e-07	0.004879261094929	5.59672075407038
"ENSG00000226862.1"	1.01226430046407	0.998551516623141	5.44885049540823	1.83902428266751e-06	0.00553813656477323	4.8944851704665
"ENSG00000148660.20"	0.481394677229721	7.23677446698175	5.42861868094426	1.97135153347333e-06	0.00553813656477323	4.83123263031434
"ENSG00000125249.7"	-0.619412945277311	4.5899080154572	-5.41684451809503	2.05265966989383e-06	0.00553813656477323	4.79443976128455
"ENSG00000163428.4"	-0.529345788628286	5.41576452362186	-5.3553609647734	2.53435698172141e-06	0.00553813656477323	4.60253216116396
"ENSG00000184743.12"	-0.393850367943124	6.47570037164027	-5.35092156082331	2.57318460437832e-06	0.00553813656477323	4.58869039061983
"ENSG00000179134.15"	0.370457320618988	6.42857300971339	5.30424400241226	3.01882273444807e-06	0.00570654401697648	4.44327991527296
"ENSG00000279283.1"	0.810428018238752	3.52940463867637	5.20219680034804	4.27639066648096e-06	0.00570654401697648	4.12624147341037
"ENSG00000241527.1"	0.842731113538719	2.84467963444184	5.17912944733164	4.62574859490306e-06	0.00570654401697648	4.05475101402145
"ENSG00000141012.13"	0.57584091733153	5.88059142981248	5.15880378985991	4.95686142702592e-06	0.00570654401697648	3.99181399313085
"ENSG00000104331.9"	-0.436722937745825	5.53583668216764	-5.14415937638549	5.20983190958528e-06	0.00570654401697648	3.94650197652727
"ENSG00000111727.12"	-0.529569850343529	4.37998632568585	-5.13872639095644	5.30689018639379e-06	0.00570654401697648	3.92969872387767
"ENSG00000240710.1"	0.57454936680098	2.92426576513661	5.13393496783363	5.39396773540185e-06	0.00570654401697648	3.9148829803773
"ENSG00000160131.13"	-0.520418115150893	5.20571537717706	-5.12117712173021	5.63276405674804e-06	0.00570654401697648	3.87544902748357
"ENSG00000180694.14"	-0.488393140237791	3.81565045751593	-5.07029174776612	6.69354184892053e-06	0.00570654401697648	3.71838780630021
"ENSG00000204217.13"	-0.392006338244423	5.66199099086027	-5.06397793441057	6.83820391074193e-06	0.00570654401697648	3.69892528648752
"ENSG00000284526.1"	0.922433280927828	3.46568582037946	5.05997282223825	6.93156362360908e-06	0.00570654401697648	3.68658238652347
"ENSG00000091592.16"	0.455949868755557	8.82829928748617	5.0567349087956	7.00795821702899e-06	0.00570654401697648	3.67660552720479
"ENSG00000172985.10"	0.778555252760006	3.93107121289116	5.05414396768313	7.06968608754676e-06	0.00570654401697648	3.66862325614846
"ENSG00000162591.16"	0.707843270563052	5.25456112783983	5.04046371828912	7.40461270092855e-06	0.00570654401697648	3.62649289240098
"ENSG00000012822.16"	0.455187060331582	6.95428437830762	5.02169293220837	7.88976710642963e-06	0.00570654401697648	3.56873051732647
"ENSG00000120137.7"	-0.496075003985085	6.38624723455689	-5.01459003811851	8.08141379735251e-06	0.00570654401697648	3.54688691627505
"ENSG00000163577.8"	-0.6769450960757	2.64677393632512	-4.98778710639147	8.84683385438756e-06	0.00570654401697648	3.4645288545228
"ENSG00000127084.19"	0.492665847211624	8.64030651452093	4.98274204424414	8.99869848003802e-06	0.00570654401697648	3.44903916095878
"ENSG00000280205.1"	0.825773778211681	3.91019500518499	4.97884389786687	9.11779616678243e-06	0.00570654401697648	3.43707352736875
"ENSG00000237441.10"	0.625350406342721	6.46498365208285	4.97329640455824	9.28996833510155e-06	0.00570654401697648	3.42004921638474
"ENSG00000205517.12"	1.75205015179603	-0.158089666266432	4.93819104567451	1.0456227967088e-05	0.00570654401697648	3.31243033505719
"ENSG00000226450.2"	0.872177713035307	1.3636259236137	4.93732586462587	1.04867209784573e-05	0.00570654401697648	3.30978054543613
"ENSG00000110958.16"	-0.386055132928926	6.95296974015092	-4.93125667539551	1.07031039077138e-05	0.00570654401697648	3.2911958764228
"ENSG00000168071.22"	0.688274899064522	7.02540094804808	4.92772493074757	1.08310380967034e-05	0.00570654401697648	3.28038397781748
"ENSG00000248712.7"	1.09475418857555	1.04135102295526	4.9176039894192	1.12060610652038e-05	0.00570654401697648	3.24941163662355
"ENSG00000142552.8"	0.860395593177433	4.02557060205627	4.914539787845	1.13221037673011e-05	0.00570654401697648	3.24003783974158
"ENSG00000180917.17"	-0.558689951263752	5.17082153054422	-4.90165390319272	1.18231868320298e-05	0.00570654401697648	3.20063536708083
"ENSG00000166987.15"	0.629787304672783	6.60450315148058	4.89894070652497	1.19314429440791e-05	0.00570654401697648	3.19234250246951
"ENSG00000164040.16"	-0.411124659393761	4.53055495783224	-4.87453950902038	1.29499444107344e-05	0.00588104660672036	3.11781661700316
"ENSG00000153113.23"	-0.316453157260677	7.81094171559367	-4.87386165065992	1.2979426823985e-05	0.00588104660672036	3.11574776467521
"ENSG00000154803.13"	0.514146798875911	5.86350830867564	4.834017897481	1.48334856689077e-05	0.00612060730722649	2.99428387619464
"ENSG00000136280.16"	0.311361881425166	7.43487416613527	4.82793093211978	1.51387851315061e-05	0.00612060730722649	2.975752469107
"ENSG00000090316.16"	0.442097447901148	6.80813712018807	4.82651581325471	1.52106429043203e-05	0.00612060730722649	2.97144517551681
"ENSG00000182487.12"	0.78952328153114	6.0991382746043	4.82477291319322	1.52996061034789e-05	0.00612060730722649	2.96614068705863
"ENSG00000134308.14"	-0.377774773942909	6.30729346728547	-4.81443014562327	1.58381601786859e-05	0.00612060730722649	2.9346739261492
"ENSG00000168010.11"	0.753165764831014	8.61326581201469	4.80812064906417	1.61758094245119e-05	0.00612060730722649	2.91548749683029
"ENSG00000152332.16"	-0.429992207655494	7.45602594779681	-4.80732791801498	1.62187293583259e-05	0.00612060730722649	2.91307740951757
"ENSG00000064687.12"	0.703649959064236	6.98190849755544	4.80488034107619	1.63519535446869e-05	0.00612060730722649	2.90563693013887
"ENSG00000163655.16"	-0.339141850950971	5.74118665688383	-4.77346465504439	1.81605089226732e-05	0.00644377557454408	2.81023350358569
"ENSG00000120802.13"	-0.372406310018974	6.74766783307123	-4.77099058067353	1.83110143272062e-05	0.00644377557454408	2.80272803847019
"ENSG00000166888.12"	0.475851827883057	8.79000783948005	4.77054783952213	1.83380766147439e-05	0.00644377557454408	2.80138504036193
"ENSG00000136279.20"	0.420721124985331	8.51065148682985	4.75641009942558	1.92232098741654e-05	0.00661970455226758	2.75851954830438
"ENSG00000214176.9"	0.483510774739524	7.27625792451243	4.74290501479231	2.01078758370367e-05	0.00663596016617999	2.71760788397198
"ENSG00000113658.18"	-0.429178611427743	5.04342685734357	-4.74069290247172	2.02565457577148e-05	0.00663596016617999	2.7109099606568
"ENSG00000154889.16"	0.499199797527031	6.71514593940552	4.72598399218164	2.12729162688386e-05	0.00663596016617999	2.66639787289678
"ENSG00000102886.15"	0.693986254300221	2.65324867183396	4.71904018563479	2.17699684529978e-05	0.00663596016617999	2.64539921568475
"ENSG00000131626.18"	0.355547073403248	6.7523251866452	4.71591665525461	2.19972594924355e-05	0.00663596016617999	2.63595648764484
"ENSG00000218682.1"	0.71466158811446	1.11722586794012	4.7139931676279	2.21383841874476e-05	0.00663596016617999	2.63014255997814
"ENSG00000139908.14"	0.827421232972809	1.09674821218298	4.71251114508713	2.22477249661265e-05	0.00663596016617999	2.62566350198428
